,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
2092,Arcane Lighthouse,Land,0,,U,NM,8.99,Commander 2014,"{T}: Add {C}.{1}, {T}: Until end of turn, creatures your opponents control lose hexproof and shroud and can't have hexproof or shroud."
2093,"Chandra, Torch of Defiance",Legendary Planeswalker - Chandra,4,RR,M,NM,8.99,Signature Spellbook: Chandra,"[+1]: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.[+1]: Add {R}{R}.[-3]: Chandra, Torch of Defiance deals 4 damage to target creature.[-7]: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target.""|4|"
2094,"Yuriko, the Tiger's Shadow",1/3 Legendary Creature - Human Ninja,3,UB,R,NM,8.99,Mystery Booster/The List,"Commander ninjutsu {U}{B} Whenever a Ninja you control deals combat damage to a player, reveal the top card of your library and put that card into your hand. Each opponent loses life equal to that card’s converted mana cost."
2095,Exsanguinate,Sorcery,3,XBB,U,NM,8.99,Mystery Booster/The List,Each opponent loses X life. You gain life equal to the life lost this way.
2096,Path to Exile,Instant,1,W,U,NM,4.49,Dominaria United Commander Decks,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
2097,Dream Halls,Enchantment,5,UU,R,EX,23.79,Stronghold,"Rather than pay the mana cost for a spell, its controller may discard a card that shares a color with that spell."
2098,Grand Abolisher,2/2 Creature - Human Cleric,2,WW,R,NM,27.99,Archenemy - Nicol Bolas,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures or enchantments."
2099,Eldrazi Conscription,Tribal Enchantment - Eldrazi Aura,8,,R,NM,16.99,Ultimate Masters,Enchant creatureEnchanted creature gets +10/+10 and has trample and annihilator 2.
2100,Stonecoil Serpent,0/0 Artifact Creature - Snake,1,X,R,NM,2.49,Throne of Eldraine,"Reach, trample, protection from multicoloredStonecoil Serpent enters the battlefield with X +1/+1 counters on it."
2101,"Halvar, God of Battle",4/4 Legenary Creature - God,4,WW,M,NM,8.49,Kaldheim,"Creatures you control that are enchanted or equipped have double strike.At the beginning of each combat, you may attach target Aura or Equipment attached to a creature you control to target creature you control.Sword of the Realms - {1}{W}Legendary Artifact - EquipmentEquipped creature gets +2/+0 and has vigilance.Whenever equipped creature dies, return it to its owner's hand.Equip {1}{W}"
2102,Dismember,Instant,3,(P/B)(P/B),U,EX,2.39,New Phyrexia,Target creature gets -5/-5 until end of turn.
2103,Sword of Light and Shadow (KLD),Artifact - Equipment,3,,S,NM,94.99,Masterpiece Series: Inventions,"Equipped creature gets +2/+2 and has protection from white and from black.Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.Equip {2}"
2104,Shivan Dragon (Not Tournament Legal),5/5 Creature - Dragon,6,RR,R,EX,80.74,Collectors Ed,Flying{R}: Shivan Dragon gets +1/+0 until end of turn.
2105,Thought-Knot Seer,4/4 Creature - Eldrazi,4,C,R,EX,3.19,Oath of the Gatewatch,"When Thought-Knot Seer enters the battlefield, target opponent reveals their hand. You choose a nonland card from it and exile that card.When Thought-Knot Seer leaves the battlefield, target opponent draws a card."
2106,Arcane Denial (Sword),Instant,2,U,C,EX,3.19,Alliances,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn’s upkeep.You draw a card at the beginning of the next turn’s upkeep.
2107,"Karn, the Great Creator (001 - JPN Alternate Art)",Legendary Planeswalker - Karn,4,,R,NM,24.99,War of the Spark JPN Planeswalkers,"Activated abilities of artifacts your opponents control can't be activated.[+1]: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost.[-2]: You may choose an artifact card you own from outside the game or in exile, reveal that card, and put it into your hand.|5|"
2108,"Daretti, Ingenious Iconoclast",Legendary Planeswalker - Daretti,3,BR,M,NM,24.99,Conspiracy - Take the Crown,"[+1]: Put a 1/1 colorless Construct artifact creature token with defender onto the battlefield.[-1]: You may sacrifice an artifact. If you do, destroy target artifact or creature.[-6]: Choose target artifact card in a graveyard or artifact on the battlefield. Put three tokens that are copies of it onto the battlefield.|3|"
2109,Dark Depths,Legendary Snow Land,0,,R,NM,24.99,Coldsnap,"Dark Depths enters the battlefield with ten ice counters on it. {3}: Remove an ice counter from Dark Depths.When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible."
2110,"Giada, Font of Hope (Showcase - Foil Etched)",2/2 Legendary Creature - Angel,2,W,R,NM,24.99,Streets of New Capenna Variants,"Flying, vigilanceEach other Angel you control enters the battlefield with an additional +1/+1 counter on it for each Angel you already control.{T}: Add {W}. Spend this mana only to cast an Angel spell."
2111,Snow-Covered Swamp (280),Basic Snow Land - Swamp,0,,C,NM,0.79,Kaldheim,
2112,Boreal Druid,1/1 Snow Creature - Elf Druid,1,G,C,NM,3.49,Coldsnap,{T}: Add {C} to your mana pool.
2113,Qasali Slingers,3/5 Creature - Cat Warrior,5,G,R,NM,9.49,Commander 2017,"ReachWhenever Qasali Slingers or another Cat enters the battlefield under your control, you may destroy target artifact or enchantment."
2114,"Ajani, Strength of the Pride",Legendary Planeswalker - Ajani,4,WW,M,NM,9.49,Core Set 2020,"[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.[-2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""[0]: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control.|5|"
2115,Ramunap Excavator (Commander Deck),2/3 Creature - Naga Cleric,3,G,R,NM,4.99,Commander Legends,You may play land cards from your graveyard.
2116,Black Sun's Zenith,Sorcery,3,XBB,R,NM,6.49,Mirrodin Besieged,Put X -1/-1 counters on each creature.Shuffle Black Sun's Zenith into its owner's library.
2117,Mana Vault,Artifact,1,,M,NM,42.99,Ultimate Masters,"Mana Vault doesn't untap during your untap step.At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.{T}: Add {C}{C}{C}."
2118,Estrid's Invocation,Enchantment,3,U,R,NM,10.99,Commander 2018,"You may have Estrid's Invocation enter the battlefield as a copy of an enchantment you control, except it gains ""At the beginning of your upkeep, you may exile this enchantment. If you do, return it to the battlefield under its owner's control."""
2119,Hellkite Courser,6/5 Creature - Dragon,6,RR,M,NM,5.49,Commander Legends,"FlyingWhen Hellkite Courser enters the battlefield, you may put a commander you own from the command zone onto the battlefield. It gains haste. Return it to the command zone at the beginning of the next end step."
2120,Hullbreaker Horror,7/8 Creature - Kraken Horror,7,UU,R,NM,4.49,Commander Legends: Battle for Baldur's Gate,"FlashThis spell can't be countered.Whenever you cast a spell, choose up to one - "
2121,Sol Ring (Love Your LGS Foil), Artifact,1,,R,NM,7.99,Promotional,{T}: Add {C}{C}.
2122,Bolas's Citadel (Draft Weekend Foil),Legendary Artifact,6,BBB,R,NM,7.99,Promotional,"You may look at the top card of your library any time.You may play the top card of your library. If you cast a spell this way, pay life equal to its converted mana cost rather than pay its mana cost.{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life."
2123,Titania's Command,Sorcery,6,GG,R,NM,0.99,The Brothers' War,Choose two - 
2124,Valkyrie Harbinger (Theme Booster),4/5 Creature - Angel Cleric,6,WW,R,NM,4.99,Kaldheim,"Flying, lifelinkAt the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance."
2125,Sakashima the Impostor,3/1 Legendary Creature - Human Rogue,4,UU,R,NM,6.99,Mystery Booster/The List,"You may have Sakashima the Impostor enter the battlefield as a copy of any creature on the battlefield, except its name is Sakashima the Impostor, it’s legendary in addition to its other types, and it has “{2}{U}{U}: Return this creature to its owner’s hand at the beginning of the next end step.”"
2126,Steely Resolve,Enchantment,2,G,R,EX,15.29,Onslaught,"As Steely Resolve enters the battlefield, choose a creature type.Creatures of the chosen type have shroud. "
2127,Moggcatcher,2/2 Creature - Human Mercenary,4,RR,R,NM,12.99,Nemesis,"{3}, {T}: Search your library for a Goblin permanent card and put that card onto the battlefield. Then shuffle your library."
2128,"Lolth, Spider Queen (Borderless)",Legendary Planeswalker - Lolth,5,BB,M,NM,11.99,Adventures in the Forgotten Realms Variants,"Whenever a creature you control dies, put a loyalty counter on Lolth, Spider Queen.[0]: You draw a card and you lose 1 life.[-3]: Create two 2/1 black Spider creature tokens with menace and reach.[-8]: You get an emblem with ""Whenever an opponent is dealt combat damage by one or more creatures you control, if that player lost less than 8 life this turn, they lose life equal to the difference.""|4|"
2129,Noble Hierarch,0/1 Creature - Human Druid,1,G,R,NM,11.99,Double Masters,"Exalted{T}: Add {G}, {W}, or {U}."
2130,Sword of Sinew and Steel,Artifact - Equipment,3,,M,NM,8.99,Modern Horizons,"Equipped creature gets +2/+2 and has protection from black and from red.Whenever equipped creature deals combat damage to a player, destroy up to one target planeswalker and up to one target artifact.Equip {2}."
2131,Poppet Stitcher,2/3 Creature - Human Wizard,3,U,M,NM,6.49,Innistrad: Midnight Hunt,"Whenever you cast an instant or sorcery spell, create a 2/2 black Zombie creature token with decayed. At the beginning of your upkeep, if you control three or more creature tokens, you may transform Poppet Stitcher.Poppet FactoryArtifactCreature tokens you control lose all abilities and have base power and toughness 3/3.At the beginning of your upkeep, you may transform Poppet Factory."
2132,Austere Command,Sorcery,6,WW,R,NM,1.29,The Brothers' War Commander Decks,Choose two -
2133,"Ob Nixilis, the Fallen",3/3 Legendary Creature - Demon,5,BB,M,NM,3.99,Mystery Booster/The List," - Whenever a land enters the battlefield under your control, you may have target player lose 3 life. If you do, put three +1/+1 counters on Ob Nixilis, the Fallen."
2134,Battlefield Forge,Land,0,,R,NM,0.99,The Brothers' War,{T}: Add {C}.{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.
2135,Ghostly Flicker,Instant,3,U,C,NM,1.99,Avacyn Restored,"Exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control."
2136,Bloom Tender (Borderless),1/1 Creature - Elf Druid,2,G,R,NM,9.49,Double Masters 2022 Variants,"{T}: For each color among permanents you control, add one mana of that color."
2137,Daybreak Coronet,Enchantment - Aura,2,WW,R,NM,9.49,Ultimate Masters,"Enchant creature with another Aura attached to itEnchanted creature gets +3/+3 and has first strike, vigilance, and lifelink."
2138,Karmic Justice,Enchantment,3,W,R,NM,14.99,Commander 2015,"Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls."
2139,"Flamewar, Brash Veteran",3/2 Legendary Artifact Creature - Robot,3,BR,M,NM,1.29,Universes Beyond: Transformers,"More Than Meets the Eye {B}{R} Sacrifice another artifact: Put a +1/+1 counter on Flamewar and convert it. Activate only as a sorcery.{1}, Discard your hand: Put all exiled cards you own with intel counters on them into your hand.Flamewar Streetwise OperativeLegendary Artifact - VehicleLiving metal Menace, deathtouchWhenever Flamewar deals combat damage to a player, exile that many cards from the top of your library face down. Put an intel counter on each of them. Convert Flamewar.2/1"
2140,Sire of Stagnation,5/7 Creature - Eldrazi,6,UB,M,NM,4.99,Battle for Zendikar,"Devoid Whenever a land enters the battlefield under an opponent’s control, that player exiles the top two cards of their library and you draw two cards."
2141,Pact of Negation,Instant,0,,R,NM,15.99,Future Sight,"Pact of Negation is blue.Counter target spell.At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game."
2142,Darksteel Colossus,11/11 Artifact Creature - Golem,11,,R,NM,15.99,Darksteel,"TrampleDarksteel Colossus is indestructible. If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead."
2143,Gilded Lotus,Artifact,5,,R,NM,1.79,"Universes Beyond: Warhammer 40,000",{T}: Add three mana of any one color.
2144,March of Otherworldly Light,Instant,2,XW,R,NM,2.49,Kamigawa: Neon Dynasty,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.Exile target artifact, creature, or enchantment with mana value X or less."
2145,Starnheim Aspirant (Theme Booster), 2/2 Creature - Human Cleric,3,W,U,NM,3.99,Kaldheim,Angel spells you cast cost {2} less to cast.
2146,Bojuka Bog,Land,0,,C,NM,2.29,Commander Legends: Battle for Baldur's Gate,"Bojuka Bog enters the battlefield tapped.When Bojuka Bog enters the battlefield, exile target player's graveyard.{T}: Add {B}."
2147,Lightning Bolt,Instant,1,R,C,VG,19.79,Unlimited,Lightning Bolt deals 3 damage to any target.
2148,Mystic Remora (Non-Foil),Enchantment,1,U,R,NM,32.99,Secret Lair,"Cumulative upkeep {1}Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}."
2149,Maralen of the Mornsong,2/3 Legendary Creature - Elf Wizard,3,BB,R,NM,21.99,Morningtide,"Players can't draw cards.At the beginning of each player’s draw step, that player loses 3 life, searches their library for a card, puts it into their hand, then shuffles."
2150,Sacred Foundry,Land - Mountain Plains,0,,R,NM,21.99,Secret Lair,"As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
2151,Shark Typhoon (Extended Art),Enchantment,6,U,R,NM,20.99,Ikoria: Lair of Behemoths Variants,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's converted mana cost.Cycling {X}{1}{U} When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying."
2152,Ethersworn Canonist,2/2 Artifact Creature - Human Cleric,2,W,R,NM,10.99,Double Masters,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.
2153,"Tamiyo, Field Researcher",Legendary Planeswalker - Tamiyo,4,GWU,M,EX,5.59,Eldritch Moon,"[+1]: Choose up to two target creatures. Until your next turn, whenever either of those creatures deals combat damage, you draw a card.[-2]: Tap up to two target nonland permanents. They don't untap during their controller's next untap step.[-7]: Draw three cards. You get an emblem with ""You may cast nonland cards from your hand without paying their mana costs."""
2154,Talisman of Dominance (254),Artifact,2,,U,NM,1.29,"Universes Beyond: Warhammer 40,000",{T}: Add {C}.{T}: Add {U} or {B}. Talisman of Dominance deals 1 damage to you.
2155,Shivan Reef,Land,0,,R,NM,1.49,Dominaria United,{T}: Add {C}.{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
2156,Roiling Vortex,Enchantment,2,R,R,NM,1.49,Zendikar Rising,"At the beginning of each player's upkeep, Roiling Vortex deals 1 damage to them.Whenever a player casts a spell, if no mana was spent to cast that spell, Roiling Vortex deals 5 damage to that player.{R}: Your opponents can't gain life this turn."
2157,Timber Wolves,1/1 Creature - Wolf,1,G,R,EX,183.99,Beta,Banding 
2158,"Urborg, Tomb of Yawgmoth",Legendary Land,0,,S,NM,229.99,Ultimate Box Topper,Each land is a Swamp in addition to its other land types.
2159,Commandeer,Instant,7,UU,R,NM,19.99,Coldsnap,You may exile two blue cards from your hand rather than pay Commandeer's mana cost.Gain control of target noncreature spell. You may choose new targets for it. 
2160,Bribery,Sorcery,5,UU,R,EX,16.99,Mercadian Masques,Search target opponent’s library for a creature card and put that card onto the battlefield under your control. Then that player shuffles their library.
2161,"Vorinclex, Voice of Hunger",7/6 Legendary Creature - Phyrexian Praetor,8,GG,M,NM,19.99,Iconic Masters,"Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced.Whenever an opponent taps a land for mana, that land doesn't untap during its controller's next untap step."
2162,Hope of Ghirapur,1/1 Legendary Artifact Creature - Thopter,1,,R,NM,3.99,Aether Revolt,"FlyingSacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells."
2163,Sword of Body and Mind,Artifact - Equipment,3,,M,NM,16.99,Scars of Mirrodin,"Equipped creature gets +2/+2 and has protection from green and from blue.Whenever equipped creature deals combat damage to a player, you create a 2/2 green Wolf creature token and that player mills ten cards.Equip {2}"
2164,Sea of Clouds,Land,0,,R,NM,8.99,Battlebond,Sea of Clouds enters the battlefield tapped unless you have two or more opponents.{T}: Add {W} or {U}.
2165,Selvala's Stampede,Sorcery,6,GG,R,NM,8.49,Conspiracy - Take the Crown," - Starting with you, each player votes for wild or free. Reveal cards from the top of your library until you reveal a creature card for each wild vote. Put those creature cards onto the battlefield, then shuffle the rest into your library. You may put a permanent card from your hand onto the battlefield for each free vote."
2166,Drown in the Loch,Instant,2,UB,U,NM,1.79,Throne of Eldraine,Choose one -
2167,Snow-Covered Swamp,Basic Snow Land - Swamp,0,,C,NM,0.79,Modern Horizons,
2168,Phyrexian Metamorph,0/0 Artifact Creature - Phyrexian Shapeshifter,4,(P/U),R,NM,7.49,Mystery Booster/The List,"You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it’s an artifact in addition to its other types."
2169,Dragonlord Dromoka,5/7 Legendary Creature - Elder Dragon,6,GW,M,NM,7.49,Dragons of Tarkir,"Dragonlord Dromoka can't be countered.Flying, lifelinkYour opponent can't cast spells during your turn."
2170,Old Gnawbone (Promo Pack),7/7 Legendary Creature - Dragon,7,GG,M,NM,37.99,Promo Pack,"FlyingWhenever a creature you control deals combat damage to a player, create that many Treasure tokens."
2171,Phyrexian Tower (Non-Foil - Dracula's Tomb - Dracula Series),Legendary Land,0,,R,NM,23.99,Secret Lair,"{T}: Add {C}.{T}, Sacrifice a creature: Add {B}{B}."
2172,Snow-Covered Forest,Basic Snow Land - Forest,0,,C,NM,2.29,Ice Age,
2173,Pyretic Ritual,Instant,2,R,C,NM,2.49,2011 Core Set,Add {R}{R}{R} to your mana pool.
2174,Regal Behemoth,5/5 Creature - Dinosaur,6,GG,R,NM,11.99,Conspiracy - Take the Crown,"TrampleWhen Regal Behemoth enters the battlefield, you become the monarch.Whenever you tap a land for mana while you're the monarch, add one mana of any color to your mana pool "
2175,"Umbris, Fear Manifest",1/1 Legendary Creature - Nightmare Horror,5,UB,M,NM,11.99,Innistrad: Crimson Vow Commander Decks,"Umbis, Fear Manifest gets +1/+1 for each card your opponents own in exile.Whenever Umbris or another Nightmare or Horror enters the battlefield under your control, target opponent exiles cards from the top of their library until they exile a land."
2176,Illusionist's Bracers,Artifact - Equipment,2,,R,NM,9.49,Mystery Booster/The List,"Whenever an ability of equipped creature is activated, if it isn't a mana ability, copy that ability. You may choose new targets for the copy.Equip {3}"
2177,Carnage Tyrant,7/6 Creature - Dinosaur,6,GG,M,NM,9.49,Ixalan,"Carnage Tyrant can't be countered.Trample, hexproof"
2178,Norn's Annex,Artifact,5,(P/W)(P/W),R,EX,6.39,New Phyrexia,Creatures can't attack you or a planeswalker you control unless their controller pays {P/W} for each of those creatures.
2179,Preordain,Sorcery,1,U,C,NM,0.99,Commander Legends,"Scry 2, then draw a card. "
2180,Grim Tutor,Sorcery,3,BB,R,EX,55.24,Starter 1999,"Search your library for a card and put that card into your hand, then shuffle your library. You lose 3 life."
2181,Crimson Wisps,Instant,1,R,C,NM,3.49,Shadowmoor,Target creature becomes red and gains haste until end of turn. Draw a card.
2182,Sardian Avenger (Extended Art),1/1 Creature - Goblin Warrior,2,R,R,NM,4.49,The Brothers' War Commander Decks Variants,"First strike, trampleWhenever Sardian Avenger attacks, it gets +X/+0 until end of turn, where X is the number of artifacts your opponents control.Whenever an artifact an opponent controls is put into a graveyard from the battlefield, Sardian Avenger deals 1 damage to that player."
2183,Thoughtcast,Sorcery,5,U,C,NM,2.29,The Brothers' War Commander Decks,Affinity for artifacts Draw two cards.
2184,Mystical Dispute,Instant,3,U,U,NM,1.29,Throne of Eldraine,This spell costs {2} less to cast if it targets a blue spell.Counter target spell unless its controller pays {3}.
2185,"Gwenna, Eyes of Gaea",2/3 Legendary Creature - Elf Druid Scout,3,G,R,NM,0.99,The Brothers' War,"{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells or activate abilities of a creature or creature card.Whenever you cast a creature spell with power 5 or greater, put a +1/+1 counter on Gwenna, Eyes of Gaea and untap it."
2186,Arcane Denial (Commander Deck),Instant,2,U,C,NM,3.99,Commander Legends,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn’s upkeep.You draw a card at the beginning of the next turn’s upkeep.
2187,Intruder Alarm (Foil),Enchantment,3,U,R,NM,10.99,Mystery Booster/The List,"Creatures don't untap during their controllers' untap steps.Whenever a creature enters the battlefield, untap all creatures."
2188,Pack Rat,*/* Creature - Rat,2,B,R,NM,3.49,Return to Ravnica,"Pack Rat's power and toughness are each equal to the number of Rats you control. {2}{B}, Discard a card: Put a token onto the battlefield that's a copy of Pack Rat."
2189,Underrealm Lich,4/3 Creature - Zombie Elf Shaman,5,BG,M,NM,5.49,Guilds of Ravnica,"If you would draw a card, instead look at the top three cards of your library, then put one into your hand and the rest into your graveyard.Pay 4 life: Underrealm Lich gains indestructible until end of turn. Tap it."
2190,Hanweir Battlements,Land,0,,R,EX,4.39,Eldritch Moon,"{T}: Add {C} to your mana pool.{R}, {T}: Target creature gains haste until end of turn.{3}{R}{R}. {T}: If you both own and control Hanweir Battlements and a creature named Hanweir Garrison, exile them, then meld them into Hanweir, the Writhing Township.----Meld----Hanweir, the Writhing TownshipLegendary Creature - Eldrazi OozeTrample, hasteWhenever Hanweir, the Writhing Township attacks, put two 3/2 colorless Eldrazi Horror creature tokens onto the battlefield tapped and attacking.7/4"
2191,Volcanic Island (Not Tournament Legal),Land - Island Mountain,0,,R,EX,404.99,Collectors Ed,"{T}: Add either {U} or {R} to your mana pool.Counts as both islands and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected."
2192,Dragon Whelp,2/3 Creature - Dragon,4,RR,U,EX,359.99,Alpha,"Flying{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step."
2193,Island (Euro Set Red),Basic Land - Island,0,,S,NM,149.99,Promotional,
2194,Chromatic Lantern (KLD),Artifact,3,,S,NM,149.99,Masterpiece Series: Inventions,"Lands you control have ""{T}: Add one mana of any color to your mana pool.""{T}: Add one mana of any color to your mana pool."
2195,Acid Rain,Sorcery,4,U,R,EX,134.99,Legends,Destroy all Forests.
2196,"Kozilek, Butcher of Truth (Textured Foil - 576)",12/12 Legendary Creature - Eldrazi,10,,M,NM,149.99,Double Masters 2022 Variants,"When you cast this spell, draw four cards.Annihilation 4When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
2197,Protean Hulk,6/6 Creature - Beast,7,GG,R,NM,8.49,Dissension,"When Protean Hulk is put into a graveyard from the battlefield, search your library for any number of creature cards with total converted mana cost 6 or less and put them onto the battlefield. Then shuffle your library."
2198,Aspect of Wolf,Enchantment - Aura,2,G,R,EX,119.99,Beta,"Enchant creatureEnchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up."
2199,Sol Ring (Not Tournament Legal),Artifact,1,,U,EX,76.49,Collectors Ed,{T}: Add {2} to your mana pool.
2200,Mana Drain (Foil Etched),Instant,2,UU,M,NM,74.99,Double Masters 2022 Variants,"Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value."
2201,Tarmogoyf,*/1 Creature - Lhurgoyf,2,G,M,NM,74.99,Ultimate Box Topper,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
2202,"Nissa, Vastwood Seer (SDCC 2015 Promo Foil)",2/2 Legendary Creature - Elf Scout,3,G,S,NM,74.99,Promotional,"When Nissa, Vastwood seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle your library.Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.------Nissa, Sage Animist[+1]: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.[-2]: Put a legendary 4/4 green Elemental creature token named Ashaya, the Awoken World onto the battlefield.[-7]: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands.|3|"
2203,"Emrakul, the Aeons Torn",15/15 Legendary Creature - Eldrazi,15,,M,EX,21.24,Rise of the Eldrazi,"This spell can’t be countered.When you cast this spell, take an extra turn after this one.Flying, protection from spells that are one or more colors, annihilator 6When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
2204,Desolation Angel (HOU),5/4 Creature - Angel,5,BB,S,EX,21.24,Masterpiece Series: Invocations,"Kicker {W}{W}FlyingWhen Desolation Angel enters the battlefield, destroy all lands you control. If it was kicked, destroy all lands instead."
2205,"Narset, Enlightened Master (Foil)",3/2 Legendary Creature - Human Monk,6,URW,M,NM,17.99,Secret Lair,"First strike, hexproofWhenever Narset, Enlightened Master attacks, exile the top four cards of your library. Until end of turn, you may cast noncreature cards exiled with Narset this turn without paying their mana costs."
2206,Eiganjo Castle,Legendary Land,0,,R,NM,14.99,Champions of Kamigawa,"{T}: Add {W} to your mana pool.{W},{T}: Prevent the next 2 damage that would be dealt to target legendary creature this turn."
2207,Spawnsire of Ulamog,7/11 Creature - Eldrazi,10,,R,EX,7.99,Rise of the Eldrazi,"Annihilator 1 {4}: Create two 0/1 colorless Eldrazi Spawn creature tokens. They have ""Sacrifice this creature: Add {C}.""{20}: Cast any number of Eldrazi spells from among cards you own outside the game without paying their mana costs."
2208,Reflecting Pool,Land,0,,R,NM,9.99,Conspiracy,{T}: Add to your mana pool one mana of any type that a land you control could produce.
2209,Overmaster,Sorcery,1,R,R,EX,7.19,Torment,The next instant or sorcery spell you cast this turn can't be countered by spells or abilities.Draw a card.
2210,"Veyran, Voice of Duality (Foil)",2/2 Legendary Creature - Efreet Wizard,3,UR,M,NM,8.99,Commander 2021," - Whenever you cast or copy an instant or sorcery spell, Veyran, Voice of Duality gets +1/+1 until end of turn.If you casting or copying an instant or sorcery spell causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
2211,"Sidisi, Undead Vizier",4/6 Legendary Creature - Zombie Naga,5,BB,R,NM,7.49,Mystery Booster/The List,"DeathtouchExploit  When Sidisi, Undead Vizier exploits a creature, you may search your library for a card, put it into your hand, then shuffle your library."
2212,Angel of Destiny,2/6 Creature - Angel cleric,5,WW,M,NM,5.99,Zendikar Rising,"Flying, double strikeWhenever a creature you control deals combat damage to a player, you and that player each gain that much life.At the beginning of your end step, if you have at least 15 life more than your starting life total, each player Angel of Destiny attacked this turn loses the game."
2213,Archangel Avacyn,4/4 Legendary Creature - Angel,5,WW,M,NM,5.99,Shadows Over Innistrad,"Flash Flying, vigilanceWhen Archangel Avacyn enters the battlefield, creature you control gain indestructible until end of turn. When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.----Transform----Avacyn, the PurifierLegendary Creature - Angel6/5Flying When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.6/5"
2214,"Giada, Font of Hope",2/2 Legendary Creature - Angel,2,W,R,NM,2.99,Streets of New Capenna,"Flying, vigilanceEach other Angel you control enters the battlefield with an additional +1/+1 counter on it for each Angel you already control.{T}: Add {W}. Spend this mana only to cast an Angel spell."
2215,Diabolic Intent,Sorcery,2,B,R,EX,23.79,Planeshift,"As an additional cost to cast Diabolic Intent, sacrifice a creature.Search your library for a card and put that card into your hand. Then shuffle your library."
2216,Amulet of Vigor (Foil),Artifact,1,,R,NM,27.99,Secret Lair,"Whenever a permanent enters the battlefield tapped and under your control, untap it."
2217,"Razaketh, the Foulblooded (Non-Foil)", 8/8 Legendary Creature - Demon,8,BBB,M,NM,27.99,Secret Lair,"Flying, tramplePay 2 life, Sacrifice another creature: Search your library for a card and put that card into your hand. Then shuffle your library."
